CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
, ,1,C03N07P04,,,TELA,,,,,
, ,1,C03N07P05,,,TELA,,,,,
, ,1,C03N07P06,,,TELA,,,,,
, ,1,C03N08P01,,,TELA,,,,,
, ,1,C03N08P02,,,TELA,,,,,
, ,1,C03N08P03,,,TELA,,,,,
, ,1,C03N08P04,,,TELA,,,,,
, ,1,C03N08P05,,,TELA,,,,,
, ,1,C03N08P06,,,TELA,,,,,
, ,1,C04N01P01,,,TELA,,,,,
, ,1,C04N01P02,,,TELA,,,,,
, ,1,C04N01P03,,,TELA,,,,,
, ,1,C04N01P04,,,TELA,,,,,
, ,1,C04N01P05,,,TELA,,,,,
, ,1,C04N01P06,,,TELA,,,,,
, ,1,C04N02P01,,,TELA,,,,,
, ,1,C04N02P02,,,TELA,,,,,
, ,1,C04N02P03,,,TELA,,,,,
, ,1,C04N02P04,,,TELA,,,,,
, ,1,C04N02P05,,,TELA,,,,,
, ,1,C04N02P06,,,TELA,,,,,
, ,1,C04N03P01,,,TELA,,,,,
, ,1,C04N03P02,,,TELA,,,,,
, ,1,C04N03P03,,,TELA,,,,,
, ,1,C04N03P04,,,TELA,,,,,
, ,1,C04N03P05,,,TELA,,,,,
, ,1,C04N03P06,,,TELA,,,,,
, ,1,C04N04P01,,,TELA,,,,,
, ,1,C04N04P02,,,TELA,,,,,
, ,1,C04N04P03,,,TELA,,,,,
, ,1,C04N04P04,,,TELA,,,,,
, ,1,C04N04P05,,,TELA,,,,,
, ,1,C04N04P06,,,TELA,,,,,
, ,1,C04N05P01,,,TELA,,,,,
, ,1,C04N05P02,,,TELA,,,,,
, ,1,C04N05P03,,,TELA,,,,,
, ,1,C04N05P04,,,TELA,,,,,
, ,1,C04N05P05,,,TELA,,,,,
, ,1,C04N05P06,,,TELA,,,,,
, ,1,C04N06P01,,,TELA,,,,,
, ,1,C04N06P02,,,TELA,,,,,
, ,1,C04N06P03,,,TELA,,,,,
, ,1,C04N06P04,,,TELA,,,,,
, ,1,C04N06P05,,,TELA,,,,,
, ,1,C04N06P06,,,TELA,,,,,
, ,1,C04N07P01,,,TELA,,,,,
, ,1,C04N07P02,,,TELA,,,,,
, ,1,C04N07P03,,,TELA,,,,,
, ,1,C04N07P04,,,TELA,,,,,
, ,1,C04N07P05,,,TELA,,,,,
, ,1,C04N07P06,,,TELA,,,,,
, ,1,C04N08P01,,,TELA,,,,,
, ,1,C04N08P02,,,TELA,,,,,
, ,1,C04N08P03,,,TELA,,,,,
, ,1,C04N08P04,,,TELA,,,,,
, ,1,C04N08P05,,,TELA,,,,,
, ,1,C04N08P06,,,TELA,,,,,
, ,1,C05N01P01,,,TELA,,,,,
, ,1,C05N01P02,,,TELA,,,,,
, ,1,C05N01P03,,,TELA,,,,,
, ,1,C05N01P04,,,TELA,,,,,
, ,1,C05N01P05,,,TELA,,,,,
, ,1,C05N01P06,,,TELA,,,,,
, ,1,C05N02P01,,,TELA,,,,,
, ,1,C05N02P02,,,TELA,,,,,
, ,1,C05N02P03,,,TELA,,,,,
, ,1,C05N02P04,,,TELA,,,,,
, ,1,C05N02P05,,,TELA,,,,,
, ,1,C05N02P06,,,TELA,,,,,
, ,1,C05N03P01,,,TELA,,,,,
, ,1,C05N03P02,,,TELA,,,,,
, ,1,C05N03P03,,,TELA,,,,,
, ,1,C05N03P04,,,TELA,,,,,
, ,1,C05N03P05,,,TELA,,,,,
, ,1,C05N03P06,,,TELA,,,,,
, ,1,C05N04P01,,,TELA,,,,,
, ,1,C05N04P02,,,TELA,,,,,
, ,1,C05N04P03,,,TELA,,,,,
, ,1,C05N04P04,,,TELA,,,,,
, ,1,C05N04P05,,,TELA,,,,,
, ,1,C05N04P06,,,TELA,,,,,
, ,1,C05N05P01,,,TELA,,,,,
, ,1,C05N05P02,,,TELA,,,,,
, ,1,C05N05P03,,,TELA,,,,,
, ,1,C05N05P04,,,TELA,,,,,
, ,1,C05N05P05,,,TELA,,,,,
, ,1,C05N05P06,,,TELA,,,,,
, ,1,C05N06P01,,,TELA,,,,,
