Número de artículo,Descripción del artículo,En stock,Comprometido,Solicitado,Disponible,Unidad de medida,PRECIOVENTA,IMAGEN,STOCK EN BODEGA,UBICACION,DISPONIBILIDAD
V674,CAPRI CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V674.jpg,,,
V663,VIBRANT ORANGE/CUERO CHARLOTTE,,,,,,$100.00,STOCK SAP_Images/V663.jpg,,,
V650,MERLOT CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V650.jpg,,,
V640,INDIGO LEATHER,,,,,,$100.00,STOCK SAP_Images/V640.jpg,,,
V635,TIMBER/CHARLOTTE,,,,,,$100.00,STOCK SAP_Images/V635.jpg,,,
V630,PERFORMANCE ULTRAHYDE STATE,,,,,,$0.00,STOCK SAP_Images/V630.jpg,,,
V622,Pewter,,,,,,$100.00,STOCK SAP_Images/V622.jpg,,,
V621,FOG,,,,,,$100.00,STOCK SAP_Images/V621.jpg,,,
V607,HICKORY CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V607.jpg,,,
V606,BRASS7CHARLOTTE,,,,,,$100.00,STOCK SAP_Images/V606.jpg,,,
V592,EXOTICS LEATHER CROME,,,,,,$100.00,STOCK SAP_Images/V592.jpg,,,
